root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_present_perfect_2p_s,indicative_present_perfect_1p_s,indicative_present_perfect_1p_p,indicative_present_perfect_3p_s,indicative_present_perfect_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,indicative_past_perfect_2p_s,indicative_past_perfect_1p_s,indicative_past_perfect_1p_p,indicative_past_perfect_3p_s,indicative_past_perfect_3p_p
recordar,recuerdas,recuerdo,recordamos,recuerda,recuerdan,recordaste,recordé,recordamos,recordó,recordaron,has recordado,he recordado,hemos recordado,ha recordado,han recordado,recordabas,recordaba,recordábamos,recordaba,recordaban,recordarás,recordaré,recordaremos,recordará,recordarán,habías recordado,había recordado,habíamos recordado,había recordado,habían recordado
sentir,sentes,sento,sentimos,sente,senten,sentiste,sentí,sentimos,sentió,sentieron,has sentido,he sentido,hemos sentido,ha sentido,han sentido,sentías,sentía,sentíamos,sentía,sentían,sentirás,sentiré,sentiremos,sentirá,sentirán,habías sentido,había sentido,habíamos sentido,había sentido,habían sentido
tocar,tocas,toco,tocamos,toca,tocan,tocaste,tocé,tocamos,tocó,tocaron,has tocado,he tocado,hemos tocado,ha tocado,han tocado,tocabas,tocaba,tocábamos,tocaba,tocaban,tocarás,tocaré,tocaremos,tocará,tocarán,habías tocado,había tocado,habíamos tocado,había tocado,habían tocado
leer,lees,leo,leemos,lee,leen,leiste,leí,leimos,leió,leieron,has leído,he leído,hemos leído,ha leído,han leído,leías,leía,leíamos,leía,leían,leerás,leeré,leeremos,leerá,leerán,habías leído,había leído,habíamos leído,había leído,habían leído
enterar,enteras,entero,enteramos,entera,enteran,enteraste,enteré,enteramos,enteró,enteraron,has enterado,he enterado,hemos enterado,ha enterado,han enterado,enterabas,enteraba,enterábamos,enteraba,enteraban,enterarás,enteraré,enteraremos,enterará,enterarán,habías enterado,había enterado,habíamos enterado,había enterado,habían enterado
gastar,gastas,gasto,gastamos,gasta,gastan,gastaste,gasté,gastamos,gastó,gastaron,has gastado,he gastado,hemos gastado,ha gastado,han gastado,gastabas,gastaba,gastábamos,gastaba,gastaban,gastarás,gastaré,gastaremos,gastará,gastarán,habías gastado,había gastado,habíamos gastado,había gastado,habían gastado
interesar,interesas,intereso,interesamos,interesa,interesan,interesaste,interesé,interesamos,interesó,interesaron,has interesado,he interesado,hemos interesado,ha interesado,han interesado,interesabas,interesaba,interesábamos,interesaba,interesaban,interesarás,interesaré,interesaremos,interesará,interesarán,habías interesado,había interesado,habíamos interesado,había interesado,habían interesado
guiar,guias,guio,guiamos,guia,guian,guiaste,guié,guiamos,guió,guiaron,has guiado,he guiado,hemos guiado,ha guiado,han guiado,guiabas,guiaba,guiábamos,guiaba,guiaban,guiarás,guiaré,guiaremos,guiará,guiarán,habías guiado,había guiado,habíamos guiado,había guiado,habían guiado
aconsejar,aconsejas,aconsejo,aconsejamos,aconseja,aconsejan,aconsejaste,aconsejé,aconsejamos,aconsejó,aconsejaron,has aconsejado,he aconsejado,hemos aconsejado,ha aconsejado,han aconsejado,aconsejabas,aconsejaba,aconsejábamos,aconsejaba,aconsejaban,aconsejarás,aconsejaré,aconsejaremos,aconsejará,aconsejarán,habías aconsejado,había aconsejado,habíamos aconsejado,había aconsejado,habían aconsejado
aprender,aprendes,aprendo,aprendemos,aprende,aprenden,aprendiste,aprendí,aprendimos,aprendió,aprendieron,has aprendido,he aprendido,hemos aprendido,ha aprendido,han aprendido,aprendías,aprendía,aprendíamos,aprendía,aprendían,aprenderás,aprenderé,aprenderemos,aprenderá,aprenderán,habías aprendido,había aprendido,habíamos aprendido,había aprendido,habían aprendido
quedar,quedas,quedo,quedamos,queda,quedan,quedaste,quedé,quedamos,quedó,quedaron,has quedado,he quedado,hemos quedado,ha quedado,han quedado,quedabas,quedaba,quedábamos,quedaba,quedaban,quedarás,quedaré,quedaremos,quedará,quedarán,habías quedado,había quedado,habíamos quedado,había quedado,habían quedado
llorar,lloras,lloro,lloramos,llora,lloran,lloraste,lloré,lloramos,lloró,lloraron,has llorado,he llorado,hemos llorado,ha llorado,han llorado,llorabas,lloraba,llorábamos,lloraba,lloraban,llorarás,lloraré,lloraremos,llorará,llorarán,habías llorado,había llorado,habíamos llorado,había llorado,habían llorado
oir,oes,oo,oimos,oe,oen,oiste,oí,oimos,oió,oieron,has oido,he oido,hemos oido,ha oido,han oido,oías,oía,oíamos,oía,oían,oirás,oiré,oiremos,oirá,oirán,habías oido,había oido,habíamos oido,había oido,habían oido
bajar,bajas,bajo,bajamos,baja,bajan,bajaste,bajé,bajamos,bajó,bajaron,has bajado,he bajado,hemos bajado,ha bajado,han bajado,bajabas,bajaba,bajábamos,bajaba,bajaban,bajarás,bajaré,bajaremos,bajará,bajarán,habías bajado,había bajado,habíamos bajado,había bajado,habían bajado
prometir,prometes,prometo,prometimos,promete,prometen,prometiste,prometí,prometimos,prometió,prometieron,has prometido,he prometido,hemos prometido,ha prometido,han prometido,prometías,prometía,prometíamos,prometía,prometían,prometirás,prometiré,prometiremos,prometirá,prometirán,habías prometido,había prometido,habíamos prometido,había prometido,habían prometido
contestar,contestas,contesto,contestamos,contesta,contestan,contestaste,contesté,contestamos,contestó,contestaron,has contestado,he contestado,hemos contestado,ha contestado,han contestado,contestabas,contestaba,contestábamos,contestaba,contestaban,contestarás,contestaré,contestaremos,contestará,contestarán,habías contestado,había contestado,habíamos contestado,había contestado,habían contestado
esperar,esperas,espero,esperamos,espera,esperan,esperaste,esperé,esperamos,esperó,esperaron,has esperado,he esperado,hemos esperado,ha esperado,han esperado,esperabas,esperaba,esperábamos,esperaba,esperaban,esperarás,esperaré,esperaremos,esperará,esperarán,habías esperado,había esperado,habíamos esperado,había esperado,habían esperado
